name,bus,carrier,e_nom_extendable,e_nom_max,e_cyclic,capital_cost,build_year,e_nom_opt
ATG H2 Tank,Antigua Hydrogen,AC,True,6622.0,True,1800.0,0,6622.0
BRB H2 Tank,Barbados Hydrogen,AC,True,17986.5,True,1800.0,0,8886.821823045771
DMA H2 Tank,Dominica Hydrogen,AC,True,7017.5,True,1800.0,0,-0.0
GLP H2 Tank,Guadeloupe Hydrogen,AC,True,38591.0,True,1800.0,0,23914.094025989947
GRD H2 Tank,Grenada Hydrogen,AC,True,4907.0,True,1800.0,0,1173.4816203539988
LCA H2 Tank,SaintLucia Hydrogen,AC,True,13279.0,True,1800.0,0,4661.647014513635
MSR H2 Tank,Montserrat Hydrogen,AC,True,63.0,True,1800.0,0,31.588575351805783
MTQ H2 Tank,Martinique Hydrogen,AC,True,30198.0,True,1800.0,0,14609.441027936247
SKN H2 Tank,SaintKittsNevis Hydrogen,AC,True,5106.5,True,1800.0,0,728.2991794624899
SVG H2 Tank,SaintVincentGrenadines Hydrogen,AC,True,6636.0,True,1800.0,0,915.6204696201845
