,SKN load,MSR load,ATG load,GLP load,DMA load,MTQ load,LCA load,SVG load,GRD load,BRB load
0,26.95,1.62,43.24,196.5,12.6,179.9,47.4,18.0,26.3,119.5
1,25.28,1.53,40.88,183.1,11.7,168.9,43.4,17.0,24.7,110.0
2,25.01,1.5,39.86,183.3,11.6,164.9,42.3,16.6,24.1,107.6
3,24.68,1.46,38.75,181.3,11.5,162.6,42.9,16.3,23.3,108.5
4,23.73,1.46,38.97,176.3,11.4,160.5,41.5,16.1,23.4,107.1
5,24.15,1.42,38.48,175.1,11.1,160.5,42.1,16.3,23.5,106.5
6,23.34,1.41,37.29,172.1,10.8,155.5,40.9,15.5,22.6,104.1
7,23.83,1.41,37.86,176.3,11.0,158.5,41.6,15.7,22.8,103.1
8,25.26,1.49,40.07,184.2,11.9,168.0,44.1,16.6,24.5,109.8
9,26.58,1.61,42.41,198.0,12.6,178.3,45.9,17.8,26.0,117.2
10,28.02,1.68,44.6,205.7,13.2,187.1,48.0,18.7,27.4,124.4
11,29.16,1.73,46.38,215.4,13.8,193.8,50.0,19.6,28.0,126.0
12,29.6,1.76,46.46,217.1,13.5,195.1,50.6,19.6,28.4,129.5
13,27.89,1.66,44.89,202.4,12.9,186.2,47.9,18.4,26.6,123.3
14,26.51,1.55,41.55,191.4,12.1,175.0,45.0,17.4,25.5,115.5
15,25.41,1.5,40.35,184.5,11.6,168.4,43.5,16.8,24.8,109.9
16,24.92,1.49,40.29,185.1,11.9,167.5,43.3,16.6,24.4,111.1
17,25.48,1.54,41.9,187.6,11.9,172.4,44.6,17.1,24.6,113.6
18,29.9,1.77,47.4,219.9,14.0,198.9,51.6,20.0,29.2,132.6
19,31.19,1.83,50.0,228.4,14.5,205.6,54.0,20.6,30.2,135.6
20,30.26,1.86,49.58,224.2,14.5,204.7,53.4,20.6,29.7,134.4
21,29.78,1.81,48.2,219.8,14.0,199.9,52.4,19.7,29.2,133.4
22,29.74,1.79,47.32,215.7,13.8,196.4,50.6,19.9,28.8,127.7
23,27.8,1.68,43.98,202.6,12.9,185.2,48.0,18.5,27.1,121.7
24,25.74,1.55,40.9,187.7,12.2,172.0,44.1,17.0,24.9,112.6
25,24.22,1.48,39.48,178.6,11.5,163.7,42.3,16.4,23.7,108.3
26,23.96,1.42,38.03,173.8,11.3,159.8,41.6,15.8,22.9,106.2
27,23.88,1.44,37.86,172.5,10.9,158.3,41.4,15.9,22.8,105.5
28,24.25,1.44,37.84,174.7,11.3,159.9,41.1,15.9,23.5,107.0
29,25.21,1.53,40.56,186.8,11.7,169.3,44.1,17.1,24.4,112.5
30,26.48,1.62,42.06,195.9,12.5,177.3,46.5,17.6,25.5,116.9
31,29.45,1.75,46.35,213.0,13.7,195.5,50.8,19.6,28.3,127.6
32,32.34,1.98,51.91,241.1,15.1,218.0,56.0,21.8,31.5,142.3
33,34.92,2.04,55.54,249.0,15.8,229.4,58.9,23.1,33.4,151.1
34,34.98,2.08,55.99,258.1,16.2,232.8,61.1,23.0,34.0,154.4
35,35.71,2.11,57.64,263.2,16.7,238.4,61.1,23.6,34.4,158.5
36,35.93,2.15,58.16,269.4,17.0,241.6,62.0,23.8,35.2,159.7
37,35.79,2.12,57.63,266.2,16.9,238.7,62.4,23.9,34.9,157.9
38,35.01,2.08,56.41,259.1,16.4,234.3,60.3,23.8,33.8,152.6
39,34.66,2.1,54.94,253.5,16.4,230.4,59.9,23.3,33.8,152.8
40,33.48,1.97,53.29,239.6,15.6,220.6,57.6,22.4,32.3,146.0
41,33.17,1.98,52.64,244.0,15.5,220.0,57.4,22.0,31.5,145.4
42,36.37,2.2,57.56,266.4,16.8,243.5,63.9,24.5,35.7,159.1
43,36.39,2.22,58.38,271.3,17.0,245.7,62.9,24.8,35.9,162.8
44,34.84,2.1,56.2,254.5,16.4,234.8,61.1,23.6,33.8,155.1
45,32.62,1.96,53.24,242.0,15.2,220.1,57.3,22.3,31.7,147.4
46,31.69,1.93,51.84,236.2,14.8,213.4,56.0,21.1,31.0,142.7
